adjective	frequency
other	361
more	257
such	220
new	219
digital	215
many	206
important	171
different	167
quick	117
academic	111
specific	108
first	101
useful	100
physical	93
possible	90
available	89
online	89
open	83
small	81
large	80
easy	79
creative	78
most	74
able	73
few	71
same	70
similar	70
current	69
much	69
own	69
common	65
public	65
good	64
main	64
clear	62
better	60
full	60
single	60
relevant	59
low	57
several	56
best	55
key	55
particular	52
ethnographic	51
long	51
permanent	51
great	50
simple	50
users’	50
mobile	49
difficult	47
high	47
accessible	45
top	45
global	44
necessary	43
social	43
usable	43
various	43
larger	42
visual	42
anticipatory	41
little	41
local	41
primary	41
significant	40
likely	39
multiple	39
practical	39
broad	38
free	38
general	38
individual	38
potential	38
real	38
initial	37
short	37
institutional	36
personal	36
positive	36
qualitative	36
sure	36
easier	35
overall	35
traditional	35
additional	34
complete	34
unique	34
effective	33
major	32
popular	32
critical	31
iterative	31
last	31
quantitative	31
recent	31
actual	30
entire	30
helpful	30
less	30
big	29
special	29
static	29
final	28
second	28
undergraduate	28
wide	28
collaborative	27
descriptive	27
higher	27
least	27
previous	27
successful	27
basic	26
complex	26
electronic	26
interested	26
next	26
regular	26
consistent	25
meaningful	25
technical	25
certain	24
limited	24
essential	23
average	22
smaller	22
busy	21
cultural	21
ongoing	21
strong	21
brief	20
direct	20
internal	20
organizational	20
visible	20
contextual	19
greater	19
holistic	19
instructional	19
powerful	19
responsive	19
separate	19
subject	19
third	19
virtual	19
detailed	18
familiar	18
friendly	18
library	18
poor	18
valuable	18
advanced	17
appropriate	17
broader	17
graduate	17
original	17
whole	17
confusing	16
distinct	16
formal	16
further	16
future	16
ideal	16
interesting	16
minimal	16
total	16
worth	16
comfortable	15
early	15
excellent	15
focused	15
human	15
live	15
native	15
numerous	15
past	15
professional	15
quiet	15
refereed	15
regional	15
related	15
rich	15
typical	15
wider	15
alternative	14
central	14
diverse	14
fewer	14
intensive	14
natural	14
only	14
problematic	14
right	14
silent	14
assistive	13
aware	13
cognitive	13
desirable	13
ended	13
enough	13
example	13
hard	13
informal	13
longer	13
scholarly	13
secondary	13
willing	13
biggest	12
crucial	12
flexible	12
highest	12
ios	12
mental	12
minor	12
monthly	12
pure	12
representative	12
screenshot	12
soft	12
strategic	12
true	12
bad	11
comparative	11
efficient	11
overwhelming	11
standard	11
students’	11
applicable	10
beautiful	10
external	10
extra	10
historical	10
lean	10
negative	10
slow	10
theoretical	10
unnecessary	10
valid	10
closed	9
commercial	9
complicated	9
continuous	9
correct	9
deeper	9
disparate	9
exact	9
huge	9
immediate	9
informational	9
inherent	9
interactive	9
intuitive	9
librarian	9
measurable	9
observational	9
obvious	9
odd	9
old	9
participant	9
perfect	9
playful	9
raw	9
responsible	9
tabbed	9
universal	9
widespread	9
above	8
active	8
annual	8
challenging	8
compelling	8
curious	8
demographic	8
earlier	8
empty	8
extensive	8
faster	8
feasible	8
front	8
functional	8
fundamental	8
happy	8
informed	8
median	8
notable	8
preferred	8
productive	8
regulatory	8
relatable	8
reliable	8
straightforward	8
thematic	8
unclear	8
white	8
abstract	7
accurate	7
advisory	7
applied	7
close	7
closer	7
comprehensive	7
dedicated	7
equal	7
ethnographish	7
explicit	7
fast	7
fictional	7
fun	7
involved	7
licensed	7
older	7
prior	7
senior	7
subsequent	7
technological	7
tricky	7
wrong	7
apparent	6
audio	6
biographical	6
capable	6
comparable	6
confident	6
cumbersome	6
directional	6
emotional	6
experimental	6
exploratory	6
following	6
former	6
heavy	6
inconsistent	6
innovative	6
intangible	6
international	6
memorable	6
minded	6
modest	6
private	6
ready	6
relative	6
rigorous	6
semantic	6
sidebar	6
standardized	6
subjective	6
substantial	6
surprising	6
tangible	6
unlikely	6
vast	6
viable	6
acceptable	5
administrative	5
alone	5
alternate	5
beneficial	5
bottom	5
busiest	5
confused	5
constant	5
deep	5
diagnostic	5
dirty	5
dynamic	5
educational	5
engaged	5
environmental	5
everyday	5
existing	5
experienced	5
favorable	5
flat	5
fresh	5
graphic	5
improved	5
independent	5
integral	5
mid	5
middle	5
outside	5
perpetual	5
predictive	5
preliminary	5
proper	5
reasonable	5
reflective	5
respective	5
shared	5
shorter	5
solid	5
sophisticated	5
specialized	5
statistical	5
sticky	5
structured	5
systematic	5
thorough	5
timely	5
unexpected	5
unfamiliar	5
very	5
welcome	5
worthwhile	5
1st	4
adjective	4
agnostic	4
analogous	4
archival	4
attainable	4
automatic	4
back	4
bigger	4
bluetooth	4
brown	4
cacheable	4
careful	4
clean	4
clearer	4
cluttered	4
collective	4
colored	4
conceptual	4
concerned	4
concrete	4
considerable	4
contemporary	4
convenient	4
daily	4
delightful	4
dependent	4
disruptive	4
due	4
easiest	4
english	4
fair	4
favorite	4
fluid	4
fourth	4
frustrating	4
fuller	4
generic	4
impossible	4
incorrect	4
integrated	4
intentional	4
interpretive	4
irrelevant	4
largest	4
late	4
layout	4
left	4
lengthy	4
libqual+	4
lightweight	4
literal	4
manageable	4
mini	4
mixed	4
motivated	4
multi	4
national	4
nearby	4
nice	4
normal	4
novel	4
nvivo	4
occasional	4
official	4
optimal	4
overwhelmed	4
participants’	4
passive	4
plain	4
pleasant	4
pleased	4
portal	4
proactive	4
proficient	4
red	4
remote	4
richer	4
sized	4
slower	4
smart	4
surprised	4
sustainable	4
textual	4
ultimate	4
unable	4
understandable	4
upper	4
urgent	4
varied	4
weekly	4
workflow	4
achievable	3
actionable	3
agile	3
amazing	3
anonymous	3
anthropological	3
attractive	3
authoritarian	3
awesome	3
awkward	3
black	3
blind	3
blue	3
browsable	3
cheap	3
chrome	3
colloquial	3
computational	3
concise	3
conversational	3
costly	3
definite	3
dense	3
departmental	3
dominant	3
empathetic	3
encouraging	3
engaging	3
exclusive	3
expensive	3
extended	3
extreme	3
false	3
financial	3
fine	3
firm	3
fiscal	3
focal	3
foreign	3
foundational	3
gradual	3
grand	3
greatest	3
habitual	3
honest	3
imaginary	3
impressed	3
inclusive	3
inexpensive	3
insightful	3
instant	3
instructive	3
intermediate	3
invasive	3
joint	3
label	3
later	3
latest	3
latino	3
latter	3
loud	3
lucky	3
mean	3
medical	3
medium	3
methodological	3
narrow	3
navigational	3
numerical	3
objective	3
obscure	3
observed	3
outdated	3
prepared	3
present	3
presumptive	3
promotional	3
realistic	3
redesign	3
redundant	3
reverse	3
risky	3
scientific	3
serious	3
set	3
simultaneous	3
sixth	3
stark	3
stronger	3
sufficient	3
supplemental	3
temporary	3
thoughtful	3
time_local	3
tiny	3
transformative	3
transparent	3
trendy	3
unavailable	3
uncomfortable	3
underlying	3
unfocused	3
unified	3
unknown	3
unused	3
upcoming	3
worse	3
young	3
younger	3
2nd	2
99th	2
actors’	2
adequate	2
affordable	2
analytical	2
approachable	2
architectural	2
armed	2
associate	2
atypical	2
authors’	2
avid	2
awful	2
baseline	2
biased	2
bibliographic	2
binding	2
bold	2
bright	2
categorical	2
centralized	2
classic	2
clever	2
clinical	2
coherent	2
combined	2
conducive	2
consecutive	2
content	2
continual	2
